word	score	*[+continuant,+voice,-anterior]	*[+sonorant,+dorsal]	*[^-voice,+anterior,+strident][-approximant]	*[-word_boundary][+continuant]	*[-word_boundary][+voice]	*[-strident][+consonantal]	*[+sonorant][-word_boundary]	*[+labial][^+approximant,+coronal]	*[-word_boundary][+strident]	*[-anterior][^+approximant,-anterior]	*[+continuant,+voice][-word_boundary]	*[-continuant,-anterior][-word_boundary]	*[-word_boundary][-back]	*[+anterior,+strident][-anterior]	*[+spread][^+back]	*[+continuant,+voice,+coronal]	*[+voice][^+approximant,+coronal]	*[+continuant,-strident][^+approximant,-anterior]	*[-word_boundary][+coronal][^+approximant,-anterior]	*[-word_boundary][^-continuant,-voice,+labial][+consonantal]	*[+continuant,-strident]	*[+strident][-anterior]	*[-continuant,-voice,+coronal][^+approximant,-anterior]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	3.282	5.64	5.91	5.168	5.367	4.396	6.661	4.958	1.313	4.844	4.843	3.174	5.036	2.802	4.82	2.692	2.967	2.06	2.057	3.051	1.845	2.096	1.703	annotation
M L 	6.661	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S SH 	11.378	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
R TH 	28.823	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
P Z 	25.408	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
W D 	22.896	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R S 	28.291	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DH Y 	19.443	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	0	1	0	0	0
Y L 	6.661	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y SH 	19.051	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D N 	13.273	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
D G HH 	35.735	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
ZH 	5.975	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
JH CH 	20.302	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0
P L NG 	27.715	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
P P 	10.868	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T Y CH 	23.673	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
T HH 	17.177	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
W P 	17.529	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HH NG 	16.37	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
P G S 	34.643	0	0	2	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
M NG 	23.169	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R SH 	28.291	0	0	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V SH 	25.158	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
T K 	12.009	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
R W 	11.504	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH D 	16.12	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N ZH CH 	61.868	1	0	2	1	1	1	1	0	2	1	1	0	0	0	0	1	1	0	1	1	0	1	0	0
CH S 	22.11	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
T V 	22.544	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
P K 	10.868	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F DH 	25.94	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
SH SH M 	35.191	0	0	2	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	1	0	0
R HH 	26.978	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P W 	4.958	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Y ZH Y 	50.14	1	0	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	0	0
T N 	12.009	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
T ZH 	29.831	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0
TH T 	14.211	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
SH Y N 	25.501	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
W Y JH 	38.957	0	0	1	0	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
L ZH 	34.789	1	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
W M S 	44.589	0	0	2	1	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
T CH 	13.321	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
JH ZH 	36.812	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	0	0
SH S 	17.234	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N CH 	18.28	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SH NG 	16.393	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F ZH 	28.69	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
P S 	17.349	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NG 	5.64	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F SH 	17.349	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N JH 	23.646	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HH N 	10.73	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
F M 	10.868	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z R Y 	31.031	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	1	0	0	1	0	0	1	0	0
F P 	10.868	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z M 	16.412	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0
D K 	13.273	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
N HH 	22.135	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R Y 	16.541	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
R ZH 	39.632	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SH TH 	17.766	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
M B ZH 	57.604	1	0	2	1	2	0	1	2	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0
ZH Z 	39.077	1	0	1	1	1	0	0	0	1	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0
D F W 	23.399	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CH JH 	24.405	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0
CH G L 	24.048	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0
NG JH 	24.89	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZH L 	15.661	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
ZH CH Y 	44.76	1	0	1	0	0	0	0	0	1	2	1	1	1	0	0	1	1	0	1	0	0	1	1	0
ZH B 	29.905	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
ZH K 	24.538	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0
SH B 	16.12	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
